"","samplesizes","order_right","order_left"
"1",20,0.36,0.64
"2",30,0.33,0.67
"3",40,0.29,0.71
"4",50,0.13,0.87
"5",60,0.21,0.79
"6",70,0.19,0.81
"7",80,0.26,0.74
"8",100,0.11,0.89
"9",120,0.1,0.9
"10",140,0.09,0.91
"11",160,0.07,0.93
"12",180,0.08,0.92
"13",200,0.04,0.96
"14",250,0.02,0.98
"15",300,0.04,0.96
"16",350,0,1
"17",400,0,1
"18",450,0.01,0.99
"19",500,0.02,0.98
"20",550,0.01,0.99
"21",600,0,1
"22",650,0.01,0.99
"23",700,0,1
"24",750,0,1
"25",800,0,1
"26",850,0,1
"27",900,0,1
"28",950,0,1
"29",1000,0,1
"30",1050,0,1
"31",1100,0,1
"32",1150,0,1
"33",1200,0,1
"34",1250,0,1
"35",1300,0,1
"36",1350,0,1
"37",1400,0,1
"38",1450,0,1
"39",1500,0,1
"40",1550,0,1
"41",1600,0,1
"42",1650,0,1
"43",1699,0,1
