"","samplesizes","order_right","order_left"
"1",20,0.5,0.5
"2",30,0.53,0.47
"3",40,0.49,0.51
"4",50,0.49,0.51
"5",60,0.44,0.56
"6",70,0.53,0.47
"7",80,0.46,0.54
"8",100,0.52,0.48
"9",120,0.55,0.45
"10",140,0.57,0.43
"11",160,0.5,0.5
"12",180,0.58,0.42
"13",200,0.45,0.55
"14",250,0.52,0.48
"15",300,0.49,0.51
"16",350,0.51,0.49
"17",400,0.52,0.48
"18",450,0.43,0.57
"19",500,0.43,0.57
"20",550,0.57,0.43
"21",600,0.53,0.47
"22",650,0.48,0.52
"23",700,0.48,0.52
"24",750,0.44,0.56
"25",800,0.5,0.5
"26",850,0.48,0.52
"27",900,0.42,0.58
"28",950,0.39,0.61
"29",1000,0.44,0.56
"30",1050,0.52,0.48
"31",1100,0.51,0.49
"32",1150,0.49,0.51
"33",1200,0.5,0.5
"34",1250,0.45,0.55
"35",1300,0.39,0.61
"36",1350,0.5,0.5
"37",1400,0.43,0.57
"38",1450,0.46,0.54
"39",1500,0.41,0.59
"40",1550,0.4,0.6
"41",1600,0.43,0.57
"42",1650,0.45,0.55
"43",1699,0.39,0.61
